Date	Month	Day	Fish.ID	Liver.ID	Fillet.ID	Whole	Tank	Treatment	Sex	Length	Weight	Liver.Weight	God.Weight	HSI	GSI
6/2/2010	6	2	CF-25	CFf-T24.6-2	CFl-T24.6-2	NA	24	Control.Fed	M	335	551	9.04	0.83	1.640653358	0.150635209
6/2/2010	6	2	PFw-T22.6-2	NA	NA	PFw-T22.6-2	22	PCB.Fed	NA	348	592	NA	NA	NA	NA
6/2/2010	6	2	PF.-.20	PFf-T22.6-2	PFl-T22.6-2	NA	22	PCB.Fed	F	338	579	9.77	18.72	1.687392055	3.233160622
6/2/2010	6	2	PF-.21	PFf-T22.6-2	PFl-T22.6-2	NA	22	PCB.Fed	M	392	867	13.67	0.66	1.576701269	0.076124567
6/2/2010	6	2	PF-.22	PFf-T22.6-2	PFl-T22.6-2	NA	22	PCB.Fed	F	328	583	10	2.78	1.715265866	0.476843911
6/2/2010	6	2	PNw-T3.6-2	NA	NA	PNw-T3.6-2	3	PCB.Not.Fed	NA	305	386	NA	NA	NA	NA
6/2/2010	6	2	PN-.20	PNf-T3.6-2	PNl-T3.6-2	NA	3	PCB.Not.Fed	M	325	561	9.66	0.32	1.721925134	0.057040998
6/2/2010	6	2	PN-.21	PNf-T3.6-2	PNl-T3.6-2	NA	3	PCB.Not.Fed	F	348	788	11.205	1.24	1.421954315	0.157360406
6/2/2010	6	2	PN-.22	PNf-T3.6-2	PNl-T3.6-2	NA	3	PCB.Not.Fed	F	368	905	13.41	2.58	1.481767956	0.285082873
6/2/2010	6	2	CNw-T1.6-2	NA	NA	CNw-T1.6-2	1	Control.Not.Fed	NA	305	481	NA	NA	NA	NA
6/2/2010	6	2	CN-17	CNf-T1.6-2	CNl-T1.6-2	NA	1	Control.Not.Fed	F	312	498	8.44	8.3	1.694779116	1.666666667
6/2/2010	6	2	CN-18	CNf-T1.6-2	CNl-T1.6-2	NA	1	Control.Not.Fed	M	308	443	7.61	NA	1.717832957	0
6/2/2010	6	2	CN-19	CNf-T1.6-2	CNl-T1.6-2	NA	1	Control.Not.Fed	F	322	541	11.07	8.49	2.046210721	1.569316081
6/3/2010	6	3	CNw-T31.6-3	NA	NA	CNw-T31.6-3	31	Control.Not.Fed	NA	392	1141	NA	NA	NA	NA
6/3/2010	6	3	CN-20	CNf-T31.6-3	CNl-T31.6-3	NA	31	Control.Not.Fed	M	385	894	11.34	1.05	1.268456376	0.117449664
6/3/2010	6	3	CN-21	CNf-T31.6-3	CNl-T31.6-3	NA	31	Control.Not.Fed	M	395	1128	18.01	3.28	1.596631206	0.290780142
6/3/2010	6	3	CN-22	CNf-T31.6-3	CNl-T31.6-3	NA	31	Control.Not.Fed	M	410	1161	18.14	3.12	1.562446167	0.26873385
6/3/2010	6	3	PNw-T29.6-3	NA	NA	PNw-T29.6-3	29	PCB.Not.Fed	NA	325	600	NA	NA	NA	NA
6/3/2010	6	3	PN-23	PNf-T29.6-3	PNl-T29.6-3	NA	29	PCB.Not.Fed	F	325	539	8.73	1.26	1.619666048	0.233766234
6/3/2010	6	3	PN-24	PNf-T29.6-3	PNl-T29.6-3	NA	29	PCB.Not.Fed	M	368	793	12.54	1.39	1.581336696	0.175283733
6/3/2010	6	3	PN-25	PNf-T29.6-3	PNl-T29.6-3	NA	29	PCB.Not.Fed	M	365	702	10.09	1.6	1.437321937	0.227920228
6/3/2010	6	3	PFw-T27.6-3	NA	NA	PFw-T27.6-3	27	PCB.Fed	NA	355	608	NA	NA	NA	NA
6/3/2010	6	3	PF-23	PFf-T27.6-3	PFl-T27.6-3	NA	27	PCB.Fed	M	385	1028	3.67	3.7	0.357003891	0.359922179
6/3/2010	6	3	PF-24	PFf-T27.6-3	PFl-T27.6-3	NA	27	PCB.Fed	F	382	908	15.46	5.07	1.702643172	0.558370044
